Fechas,Llamadas
2021-06-12,12678.859859880473
2021-06-13,8144.146840506613
2021-06-14,16112.195665112675
2021-06-15,17026.817337427525
2021-06-16,16798.116824623932
2021-06-17,16467.281906159224
2021-06-18,16498.054247492975
2021-06-19,13394.511858605638
2021-06-20,8851.223947370723
2021-06-21,16875.56977945139
2021-06-22,17791.772299760378
2021-06-23,17398.6587634207
2021-06-24,16749.624316177556
2021-06-25,16442.107407767293
2021-06-26,13124.728993947709
2021-06-27,8537.457688465369
2021-06-28,16626.174061611466
2021-06-29,17638.15500130241
2021-06-30,17370.462525145103
2021-07-01,16944.72537982221
2021-07-02,17000.554792105057
2021-07-03,14115.263432619491
2021-07-04,9859.916489524414
2021-07-05,18027.845910243028
2021-07-06,18840.16662710068
2021-07-07,18200.121499223
2021-07-08,17368.692762507886
2021-07-09,17052.10750565984
2021-07-10,13809.475079639762
2021-07-11,9193.979534455997
2021-07-12,17066.78838060023
2021-07-13,17788.178527269974
2021-07-14,17357.40029621449
2021-07-15,16979.273955521512
2021-07-16,17160.009845602388
2021-07-17,14248.11908324797
2021-07-18,9723.522591733943
2021-07-19,17545.10951595839
2021-07-20,18233.533461344814
2021-07-21,17860.807229986796
2021-07-22,17559.91831387939
2021-07-23,17702.79713886734
2021-07-24,14579.507820867582
2021-07-25,9751.241002831837
2021-07-26,17332.373421909506
2021-07-27,17946.739041142187
2021-07-28,17650.888665244765
2021-07-29,17493.62724550152
2021-07-30,17800.12273733812
2021-07-31,14900.767658992816
2021-08-01,10425.470425272153
2021-08-02,18478.963661638874
2021-08-03,19554.364478319836
2021-08-04,19529.563254729488
2021-08-05,19354.289541263177
2021-08-06,19399.996619496895
2021-08-07,16134.61600919975
2021-08-08,11298.982405275834
2021-08-09,19015.143536294163
2021-08-10,19743.700968161684
2021-08-11,19380.75753870048
2021-08-12,18988.401282051713
2021-08-13,19072.23796235019
2021-08-14,16127.738512738035
2021-08-15,11757.021437081423
2021-08-16,19855.62910224727
2021-08-17,20728.63522702393
2021-08-18,20290.322997985513
2021-08-19,19751.854059018893
2021-08-20,19751.62551027952
2021-08-21,16784.281509981614
2021-08-22,12333.023068661245
2021-08-23,20182.937019334175
2021-08-24,20652.262744660875
2021-08-25,19790.053951978305
2021-08-26,18953.179006303635
2021-08-27,18826.658735905596
2021-08-28,15844.89065841489
2021-08-29,11415.374272021487
2021-08-30,19322.63152994502
2021-08-31,19954.25454242278
2021-09-01,19402.471388996164
2021-09-02,18953.69177849952
2021-09-03,19124.699308514057
2021-09-04,16197.798180198844
2021-09-05,11554.547874582822
